BrandName,Product ID,Product Name,Brand Desc,Product Size,Currancy,MRP,SellPrice,Discount,Category
109f,DRW24,DRW24 - Westernwear-Women,womens tie up neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1978.9,1799,10% off,Westernwear-Women
109f,DRW25,DRW25 - Westernwear-Women,womens 2 pocket solid trousers - green,Size:X-Small,Rs.,1499,599,60% off,Westernwear-Women
109f,DRW26,DRW26 - Westernwear-Women,womens off shoulder neck embroidered top - blue,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW27,DRW27 - Westernwear-Women,womens peter pan collar solid a-line dress - black,Size:Small,Rs.,2399,959,60% off,Westernwear-Women
109f,DRW28,DRW28 - Westernwear-Women,womens embroidered casual skirt - grey,"Size:Small,XX-Large",Rs.,2499,999,60% off,Westernwear-Women
109f,DRW29,DRW29 - Westernwear-Women,womens open front neck slub long shrug - grey,Size:Small,Rs.,1799,719,60% off,Westernwear-Women
109f,DRW30,DRW30 - Westernwear-Women,womens mandarin collar striped long shirt - lime green,Size:Small,Rs.,1599,639,60% off,Westernwear-Women
109f,DRW31,DRW31 - Westernwear-Women,stripes shirt collar rayon womens casual shirt - off white,"Size:Large,Medium,Small,XX-Large",Rs.,1758.9,1599,10% off,Westernwear-Women
109f,DRW32,DRW32 - Westernwear-Women,womens cold shoulder sleeves self pattern top - birch,"Size:Large,Small,X-Large,XX-Large",Rs.,2299,919,60% off,Westernwear-Women
109f,DRW33,DRW33 - Westernwear-Women,womens strappy neck printed maxi dress - black,"Size:Small,X-Small",Rs.,2499,999,60% off,Westernwear-Women
109f,DRW34,DRW34 - Westernwear-Women,printed polyester round neck womens sweatshirt - maroon,"Size:Large,Medium,X-Large,XX-Large",Rs.,2748.9,2499,10% off,Westernwear-Women
109f,DRW35,DRW35 - Westernwear-Women,womens mandarin neck solid knee length dress - black,"Size:Large,Medium,X-Large",Rs.,2499,999,60% off,Westernwear-Women
109f,DRW36,DRW36 - Westernwear-Women,womens round neck floral print tunic - yellow,Size:Medium,Rs.,1799,719,60% off,Westernwear-Women
109f,DRW37,DRW37 - Westernwear-Women,womens off shoulder stripe embroidered top - red,"Size:Large,Medium,Small",Rs.,999,399,60% off,Westernwear-Women
109f,DRW38,DRW38 - Westernwear-Women,womens 5 pocket solid pants - navy,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,2899,1159,60% off,Westernwear-Women
109f,DRW39,DRW39 - Westernwear-Women,womens round neck solid jumpsuit - dark brown,Size:Large,Rs.,1999,799,60% off,Westernwear-Women
109f,DRW40,DRW40 - Westernwear-Women,womens one shoulder printed top - multi,"Size:Small,X-Large,X-Small",Rs.,1428.9,1299,10% off,Westernwear-Women
109f,DRW41,DRW41 - Westernwear-Women,womens round neck textured top - green,Size:XX-Large,Rs.,999,399,60% off,Westernwear-Women
109f,DRW42,DRW42 - Westernwear-Women,womens collared stripe top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199,479,60% off,Westernwear-Women
109f,DRW43,DRW43 - Westernwear-Women,womens off shoulder embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1699,679,60% off,Westernwear-Women
109f,DRW44,DRW44 - Westernwear-Women,womens floral print empire waist dress - grey,"Size:Medium,Small",Rs.,2199,879,60% off,Westernwear-Women
109f,DRW45,DRW45 - Westernwear-Women,womens round neck slub top - grey,"Size:X-Large,X-Small",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW46,DRW46 - Westernwear-Women,womens round neck lace top - pink,Size:X-Large,Rs.,1799,719,60% off,Westernwear-Women
109f,DRW47,DRW47 - Westernwear-Women,womens round neck solid top - natural,"Size:Large,X-Large",Rs.,1199,479,60% off,Westernwear-Women
109f,DRW48,DRW48 - Westernwear-Women,womens embroidered casual shirt - cream,"Size:X-Large,XX-Large",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW49,DRW49 - Westernwear-Women,solid shirt collar polyester womens top - purple,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW50,DRW50 - Westernwear-Women,womens mandarin neck printed shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1699,679,60% off,Westernwear-Women
109f,DRW51,DRW51 - Westernwear-Women,womens round neck solid top - blush,Size:X-Large,Rs.,1499,599,60% off,Westernwear-Women
109f,DRW52,DRW52 - Westernwear-Women,womens tie up neck floral print top - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1599,639,60% off,Westernwear-Women
109f,DRW53,DRW53 - Westernwear-Women,womens round neck slub embroidered peplum top - grey,"Size:Large,Small,X-Large,XX-Large",Rs.,1399,559,60% off,Westernwear-Women
109f,DRW54,DRW54 - Westernwear-Women,solid polyester round neck womens dress - maroon,"Size:Large,Medium,X-Large,XX-Large",Rs.,2418.9,2199,10% off,Westernwear-Women
109f,DRW55,DRW55 - Westernwear-Women,womens tie up neck solid top - carrot,"Size:Large,Medium,Small,X-Small",Rs.,1699,639,62% off,Westernwear-Women
109f,DRW56,DRW56 - Westernwear-Women,womens collared stripe skater dress - cream,"Size:X-Large,XX-Large",Rs.,1799,719,60% off,Westernwear-Women
109f,DRW57,DRW57 - Westernwear-Women,checks rayon mandarin womens dress - black mix,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1758.9,1599,10% off,Westernwear-Women
109f,DRW58,DRW58 - Westernwear-Women,womens tie up neck striped top - blue,Size:X-Small,Rs.,2499,499,80% off,Westernwear-Women
109f,DRW59,DRW59 - Westernwear-Women,womens mandarin collar striped top - black,Size:Small,Rs.,1599,639,60% off,Westernwear-Women
109f,DRW60,DRW60 - Westernwear-Women,stripes polyester v neck womens top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women
109f,DRW61,DRW61 - Westernwear-Women,womens round neck lace top - birch,"Size:X-Large,XX-Large",Rs.,2299,919,60% off,Westernwear-Women
109f,DRW62,DRW62 - Westernwear-Women,womens round neck embroidered short dress - natural,"Size:Large,Small,X-Large",Rs.,2858.9,2599,10% off,Westernwear-Women
109f,DRW63,DRW63 - Westernwear-Women,womens tie up neck solid top - cream,"Size:Large,Medium,X-Large,XX-Large,XXX-Large",Rs.,1799,719,60% off,Westernwear-Women
109f,DRW64,DRW64 - Westernwear-Women,womens tie up neck printed top - navy,Size:X-Large,Rs.,999,399,60% off,Westernwear-Women
109f,DRW65,DRW65 - Westernwear-Women,womens printed casual shirt - black,Size:X-Small,Rs.,1799,719,60% off,Westernwear-Women
109f,DRW66,DRW66 - Westernwear-Women,womens round neck solid top - green,"Size:Large,X-Large",Rs.,1399,559,60% off,Westernwear-Women
109f,DRW67,DRW67 - Westernwear-Women,solid polyester halter neck womens top - fuschia,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women
109f,DRW68,DRW68 - Westernwear-Women,womens notched neck embroidered top - cream,"Size:X-Large,XX-Large,XXX-Large",Rs.,1699,679,60% off,Westernwear-Women
109f,DRW69,DRW69 - Westernwear-Women,checks polyester blend collar neck womens casual shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW70,DRW70 - Westernwear-Women,womens round neck self printed top - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1299,519,60% off,Westernwear-Women
109f,DRW71,DRW71 - Westernwear-Women,printed round neck rayon womens top - red,"Size:Large,Medium,Small",Rs.,1648.9,1499,10% off,Westernwear-Women
109f,DRW72,DRW72 - Westernwear-Women,womens round neck slub top - yellow,"Size:Large,Medium,Small",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW73,DRW73 - Westernwear-Women,womens off shoulder checked top - blue,"Size:Large,X-Large",Rs.,1648.9,1499,10% off,Westernwear-Women
109f,DRW74,DRW74 - Westernwear-Women,womens mandarin collar embroidered top - black,Size:Small,Rs.,1599,639,60% off,Westernwear-Women
109f,DRW75,DRW75 - Westernwear-Women,womens round neck printed top - navy,"Size:Large,Medium,Small,X-Small",Rs.,1428.9,1299,10% off,Westernwear-Women
109f,DRW76,DRW76 - Westernwear-Women,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1199,479,60% off,Westernwear-Women
109f,DRW77,DRW77 - Westernwear-Women,printed polyester v neck womens top - print,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1758.9,1599,10% off,Westernwear-Women
109f,DRW78,DRW78 - Westernwear-Women,womens v neck solid top - red,Size:Medium,Rs.,1318.9,1199,10% off,Westernwear-Women
109f,DRW79,DRW79 - Westernwear-Women,womens round neck embellished top - birch,"Size:Large,Medium,X-Large,XX-Large",Rs.,2299,919,60% off,Westernwear-Women
109f,DRW80,DRW80 - Westernwear-Women,womens solid a-line dress - natural,"Size:Large,Small,X-Large,X-Small,XX-Large",Rs.,2198.9,1999,10% off,Westernwear-Women
109f,DRW81,DRW81 - Westernwear-Women,womens solid jeggings - navy,"Size:Small,X-Small",Rs.,1899,759,60% off,Westernwear-Women
109f,DRW82,DRW82 - Westernwear-Women,womens collared check skater dress - blue,Size:Large,Rs.,2418.9,2199,10% off,Westernwear-Women
109f,DRW83,DRW83 - Westernwear-Women,printed polyester blend round neck womens casual shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW84,DRW84 - Westernwear-Women,solid polyester round neck womens top - blue,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women
109f,DRW85,DRW85 - Westernwear-Women,stripes rayon collar neck womens dress - black,"Size:Large,Small",Rs.,1758.9,1599,10% off,Westernwear-Women
109f,DRW86,DRW86 - Westernwear-Women,womens round neck solid top - yellow,Size:X-Large,Rs.,1499,599,60% off,Westernwear-Women
109f,DRW87,DRW87 - Westernwear-Women,womens collared check ruffled shirt - navy,Size:Large,Rs.,1978.9,1799,10% off,Westernwear-Women
109f,DRW88,DRW88 - Westernwear-Women,womens solid casual maxi dress - red,"Size:Medium,Small",Rs.,2799,1119,60% off,Westernwear-Women
109f,DRW89,DRW89 - Westernwear-Women,womens round neck printed ruffled top - blush,"Size:Medium,Small",Rs.,1399,559,60% off,Westernwear-Women
109f,DRW90,DRW90 - Westernwear-Women,womens 5 pocket coated jeans - blue,"Size:Small,X-Small",Rs.,1999,799,60% off,Westernwear-Women
109f,DRW91,DRW91 - Westernwear-Women,womens tie up neck floral print a-line dress - birch,"Size:Large,X-Large",Rs.,1999,799,60% off,Westernwear-Women
109f,DRW92,DRW92 - Westernwear-Women,checkered shirt collar polyester cotton womens casual shirt - blue,"Size:Large,Medium,Small,X-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW93,DRW93 - Westernwear-Women,womens round neck floral print top - lime green,"Size:Large,Small",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW94,DRW94 - Westernwear-Women,printed polyester round neck womens sweatshirt - grey,"Size:Large,Medium,X-Large,XX-Large",Rs.,2748.9,2499,10% off,Westernwear-Women
109f,DRW95,DRW95 - Westernwear-Women,solid cotton high neck womens top - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW96,DRW96 - Westernwear-Women,womens semi square neck solid midi dress - red,Size:Small,Rs.,2299,919,60% off,Westernwear-Women
109f,DRW97,DRW97 - Westernwear-Women,womens off shoulder neck solid top - navy,"Size:Medium,X-Small",Rs.,1499,599,60% off,Westernwear-Women
109f,DRW98,DRW98 - Westernwear-Women,womens solid casual pants - off white,"Size:Large,XX-Large",Rs.,1999,599,70% off,Westernwear-Women
109f,DRW99,DRW99 - Westernwear-Women,womens round neck floral print top - grey,Size:X-Small,Rs.,1299,519,60% off,Westernwear-Women
109f,DRW100,DRW100 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,1318.9,1199,10% off,Westernwear-Women
109f,DRW101,DRW101 - Westernwear-Women,womens collared checked tunic - green,"Size:Large,Small,X-Large",Rs.,2198.9,1999,10% off,Westernwear-Women
109f,DRW102,DRW102 - Westernwear-Women,womens textured casual top - blue,"Size:Large,Medium,Small,X-Large",Rs.,1318.9,1199,10% off,Westernwear-Women
109f,DRW103,DRW103 - Westernwear-Women,solid rayon round neck womens top - yellow,"Size:Large,X-Large",Rs.,1648.9,1499,10% off,Westernwear-Women
109f,DRW104,DRW104 - Westernwear-Women,womens round neck embroidered top - coral,Size:Small,Rs.,1399,559,60% off,Westernwear-Women
109f,DRW105,DRW105 - Westernwear-Women,solid viscose round neck womens regular fit top - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1428.9,1299,10% off,Westernwear-Women
109f,DRW106,DRW106 - Westernwear-Women,womens solid casual shirt - natural,Size:X-Large,Rs.,1699,679,60% off,Westernwear-Women
109f,DRW107,DRW107 - Westernwear-Women,womens round neck lace top - birch,Size:Medium,Rs.,1599,639,60% off,Westernwear-Women
109f,DRW108,DRW108 - Westernwear-Women,printed round neck rayon womens top - black,"Size:Medium,Small,X-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW109,DRW109 - Westernwear-Women,checks rayon mandarin womens top - black,"Size:X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women
109f,DRW110,DRW110 - Westernwear-Women,solid shirt collar regular fit womens casual shirt - olive,Size:X-Large,Rs.,1648.9,1499,10% off,Westernwear-Women
109f,DRW111,DRW111 - Westernwear-Women,womens round neck solid top - black,Size:X-Small,Rs.,1299,519,60% off,Westernwear-Women
109f,DRW112,DRW112 - Westernwear-Women,womens one shoulder solid top - blue,"Size:Small,X-Small",Rs.,1538.9,1399,10% off,Westernwear-Women
109f,DRW113,DRW113 - Westernwear-Women,womens round neck solid embroidered top - white,Size:Small,Rs.,1399,559,60% off,Westernwear-Women
109f,DRW114,DRW114 - Westernwear-Women,stripes rayon mandarin womens dress - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,2418.9,2199,10% off,Westernwear-Women
18.21 man made,FW1,FW1 - Fragrance-Women,spiced vanilla man made wash 946 ml,Nan,Rs.,6050,5500,10% off,Fragrance-Women
aarke,AARKE1,AARKE1 - Westernwear-Women,solid sleeveless polyester blend womens jumpsuit - black,"Size:Large,Medium,Small,X-Small",Rs.,3190,2900,10% off,Westernwear-Women
aarke,AARKE2,AARKE2 - Indianwear-Women,printed chiffon v neck womens short top - dusty pink,"Size:Large,Medium,X-Large",Rs.,2530,2300,10% off,Indianwear-Women
aarke,AARKE3,AARKE3 - Indianwear-Women,regular fit calf length polyester blend womens fusion wear skirt - rust,"Size:Large,Medium,Small,X-Large",Rs.,2090,1900,10% off,Indianwear-Women
aarke,AARKE4,AARKE4 - Indianwear-Women,regular fit calf length polyester blend womens fusion wear skirt - green,"Size:Large,Medium,Small,X-Large",Rs.,2090,1900,10% off,Indianwear-Women
aarke,AARKE5,AARKE5 - Indianwear-Women,printed round neck polyester blend womens dress - blue,"Size:Large,Medium,Small,X-Small",Rs.,4290,3900,10% off,Indianwear-Women
aarke,AARKE6,AARKE6 - Indianwear-Women,printed polyester blend round neck womens short top - ecru,"Size:Large,Medium,Small",Rs.,2090,1900,10% off,Indianwear-Women
aarke,AARKE7,AARKE7 - Indianwear-Women,printed polyester blend v neck womens short top - ecru,"Size:Large,Medium,Small,X-Large",Rs.,2090,1900,10% off,Indianwear-Women
aarke,AARKE8,AARKE8 - Indianwear-Women,printed polyester blend mandarin womens fusion wear kurta - blue,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,3740,3400,10% off,Indianwear-Women
aarke,AARKE9,AARKE9 - Indianwear-Women,printed square neck rayon blend womens long dress - blue,"Size:Large,Medium,Small,X-Small",Rs.,3190,2900,10% off,Indianwear-Women
aarke,AARKE10,AARKE10 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - red,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,6160,5600,10% off,Indianwear-Women
aarke,AARKE11,AARKE11 - Indianwear-Women,embroidered rayon blend v neck womens short top - blue,"Size:Large,Medium,Small,X-Large",Rs.,2970,2700,10% off,Indianwear-Women
aarke,AARKE12,AARKE12 - Indianwear-Women,printed cotton blend round neck womens ethnic set - ecru,"Size:Large,Medium,Small,X-Small",Rs.,3850,3500,10% off,Indianwear-Women
aarke,AARKE13,AARKE13 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - blue,"Size:Large,Medium,Small,X-Small",Rs.,6490,5900,10% off,Indianwear-Women
aarke,AARKE14,AARKE14 - Indianwear-Women,printed rayon blend round neck womens ethnic set - blue,"Size:Large,Small,X-Large",Rs.,5170,4700,10% off,Indianwear-Women
aarke,AARKE15,AARKE15 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - ecru,"Size:Medium,Small,X-Large",Rs.,1980,1800,10% off,Indianwear-Women
aarke,AARKE16,AARKE16 - Indianwear-Women,embroidered v neck rayon blend womens dress - lavender,"Size:Large,Medium,Small,X-Small",Rs.,3520,3200,10% off,Indianwear-Women
aarke,AARKE17,AARKE17 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - red,"Size:Large,Small",Rs.,1980,1800,10% off,Indianwear-Women
aarke,AARKE18,AARKE18 - Indianwear-Women,printed chiffon round neck womens short top - violet,"Size:Large,Small,X-Large",Rs.,2640,2400,10% off,Indianwear-Women
aarke,AARKE19,AARKE19 - Indianwear-Women,printed v neck rayon blend womens long dress - blue,"Size:Large,X-Large,X-Small",Rs.,3190,2900,10% off,Indianwear-Women
aarke,AARKE20,AARKE20 - Indianwear-Women,printed polyester blend collar neck womens shirt blouse - blue,Size:Small,Rs.,2860,2600,10% off,Indianwear-Women
aarke,AARKE21,AARKE21 - Indianwear-Women,printed square neck rayon blend womens long dress - rust,"Size:Medium,Small,X-Small",Rs.,3190,2900,10% off,Indianwear-Women
aarke,AARKE22,AARKE22 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - yellow,"Size:Large,Medium,Small",Rs.,6490,5900,10% off,Indianwear-Women
aarke,AARKE23,AARKE23 - Indianwear-Women,printed round neck polyester blend womens dress - pink,"Size:Large,Medium,Small,X-Small",Rs.,4290,3900,10% off,Indianwear-Women
aarke,AARKE24,AARKE24 - Indianwear-Women,printed mandarin cotton blend womens dress - pink,"Size:Medium,Small,X-Small",Rs.,#REF!,2900,10% off,Indianwear-Women
aarke,AARKE25,AARKE25 - Indianwear-Women,printed square neck cotton blend womens dress - red,"Size:Large,Medium,Small,X-Small",Rs.,#REF!,2900,10% off,Indianwear-Women
aarke,AARKE26,AARKE26 - Indianwear-Women,printed polyester blend v neck womens short top - yellow,"Size:Medium,Small",Rs.,#REF!,1900,10% off,Indianwear-Women
aarke,AARKE27,AARKE27 - Indianwear-Women,embroidered cotton blend round neck womens ethnic set - turquoise,"Size:Medium,Small,X-Large",Rs.,#REF!,5500,10% off,Indianwear-Women
aarke,AARKE28,AARKE28 - Indianwear-Women,printed chiffon round neck womens short top - yellow,"Size:Large,Medium,X-Large",Rs.,#REF!,2400,10% off,Indianwear-Women
aarke,AARKE29,AARKE29 - Indianwear-Women,printed rayon blend round neck womens ethnic set - rust,"Size:Large,Medium,Small,X-Large",Rs.,0,4700,10% off,Indianwear-Women
aarke,AARKE30,AARKE30 - Indianwear-Women,printed rayon blend round neck womens ethnic set - sky blue,"Size:Large,Medium,X-Large",Rs.,0,3900,10% off,Indianwear-Women
aarke,AARKE31,AARKE31 - Indianwear-Women,printed square neck cotton blend womens dress - ecru,"Size:Large,Medium,Small,X-Small",Rs.,0,2900,10% off,Indianwear-Women
aarke,AARKE32,AARKE32 - Indianwear-Women,printed cowl neck polyester blend womens long dress - white,"Size:Medium,Small,X-Small",Rs.,0,3400,10% off,Indianwear-Women
aarke,AARKE33,AARKE33 - Indianwear-Women,printed round neck cotton blend womens dress - blue,"Size:Large,Medium,Small,X-Small",Rs.,0,2900,10% off,Indianwear-Women
aarke,AARKE34,AARKE34 - Indianwear-Women,printed round neck chiffon womens dress - pink,"Size:Large,Medium,Small",Rs.,0,3600,10% off,Indianwear-Women
aarke,AARKE35,AARKE35 - Indianwear-Women,printed square neck rayon slub womens short top - turquoise,Size:Large,Rs.,0,1700,10% off,Indianwear-Women
aarke,AARKE36,AARKE36 - Indianwear-Women,embroidered poly cotton round neck womens ethnic set - gold,"Size:Medium,Small",Rs.,0,5900,10% off,Indianwear-Women
aarke,AARKE37,AARKE37 - Indianwear-Women,printed shirt collar rayon slub womens top - red,Size:Medium,Rs.,1900,1140,40% off,Indianwear-Women
aarke,AARKE38,AARKE38 - Indianwear-Women,printed round neck cotton blend womens dress - rust,Size:Medium,Rs.,0,2900,10% off,Indianwear-Women
aarke,AARKE39,AARKE39 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - yellow,"Size:Large,Medium,Small",Rs.,0,1900,10% off,Indianwear-Women
aarke,AARKE40,AARKE40 - Indianwear-Women,printed mandarin cotton blend womens dress - yellow,"Size:Large,Medium,Small,X-Small",Rs.,0,2900,10% off,Indianwear-Women
aarke,AARKE41,AARKE41 - Indianwear-Women,printed polyester blend collar neck womens shirt blouse - rust,Size:Large,Rs.,0,2400,10% off,Indianwear-Women
aarke,AARKE42,AARKE42 - Indianwear-Women,printed v neck polyester blend womens dress - green,"Size:Small,X-Small",Rs.,0,3600,10% off,Indianwear-Women
aarke,AARKE43,AARKE43 - Indianwear-Women,printed rayon blend collar neck womens shirt blouse - blue,Size:Small,Rs.,0,1900,10% off,Indianwear-Women
aarke,AARKE44,AARKE44 - Indianwear-Women,printed polyester blend collar neck womens shirt blouse - green,Size:Small,Rs.,0,2400,10% off,Indianwear-Women
aarke,AARKE45,AARKE45 - Lingerie&Nightwear-Women,printed polyester blend v neck womens kaftan - rust,"Size:Large,Medium,Small",Rs.,0,3600,10% off,Lingerie&Nightwear-Women
abercrombie & fitch,AF1,AF1 - Fragrance-Women,first instinct eau de parfum - 100ml,Nan,Rs.,5700,3990,30% off,Fragrance-Women
abercrombie & fitch,AF2,AF2 - Fragrance-Women,womens first instinct blue eau de parfum - 100ml,Nan,Rs.,5700,3990,30% off,Fragrance-Women
abercrombie & fitch,AF3,AF3 - Fragrance-Women,womens first instinct eau de toilette set of 2 - 100ml+15 ml,Nan,Rs.,0,5700,10% off,Fragrance-Women
abercrombie & fitch,AF4,AF4 - Fragrance-Women,womens first instinct sheer eau de parfum 100 ml,Nan,Rs.,4500,4050,10% off,Fragrance-Women
abercrombie & fitch,AF5,AF5 - Fragrance-Women,womens authentic eau de parfum 100 ml,Nan,Rs.,4900,4410,10% off,Fragrance-Women
accessorize,AJ1,AJ1 - Jewellery-Women,womens turq teardrop pendant - red,Nan,Rs.,4.5,995,10% off,Jewellery-Women
adidas,ADIDAS1,ADIDAS1 - Westernwear-Women,striped regular fit blended womens sports tights - black,Size:X-Small,Rs.,1799,899,50% off,Westernwear-Women
adidas,ADIDAS2,ADIDAS2 - Westernwear-Women,stripes regular cotton womens sports wear pants - black,"Size:36,40,48",Rs.,1499,1049,30% off,Westernwear-Women
adidas,ADIDAS3,ADIDAS3 - Westernwear-Women,solid cotton blend round neck womens regular fit t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,1199,599,50% off,Westernwear-Women
adidas,ADIDAS4,ADIDAS4 - Westernwear-Women,solid slim fit cotton womens casual wear track pants - black,"Size:Medium,Small,X-Large,X-Small",Rs.,1999,1399,30% off,Westernwear-Women
adidas,ADIDAS5,ADIDAS5 - Westernwear-Women,solid cotton round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,1599,799,50% off,Westernwear-Women
adidas,ADIDAS6,ADIDAS6 - Westernwear-Women,printed polyester crew neck womens t-shirt - black,"Size:Medium,Small,X-Large,X-Small",Rs.,1499,1049,30% off,Westernwear-Women
